pws_id,pws_name,epa_region_code,primacy_agency,pws_type,owner_type,primary_source,activity_status,season_end_date,population,rule_name,violation_code,violation_type,violation_category,health_based,contaminant,season_start_date,last_reported,submission_quarter,return_to_compliance_date,contaminant_code,submission_year,major_violation,connections,first_reported,submission_year.1
NE3120835,LITTLE USA,Region 7,Nebraska,TNCWS,State,Ground water,Active,,200,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45170,45199.0,Known,,,,Y,,3,45244
NE3121452,ELKHORN SHORES,Region 7,Nebraska,TNCWS,State,Ground water,Active,,35,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45170,45199.0,Known,,,,Y,,3,45244
NE3121245,DRIFTWOOD INN,Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45170,45199.0,Known,,,,Y,,3,45244
NE3150475,TYSON FRESH MEATS INC  MADISON,Region 7,Nebraska,NTNCWS,State,Ground water,Active,,1100,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45170,45199.0,Known,,,,Y,,3,45244
NE3121401,SANDY POINTE LAKE DEVELOPMENT,Region 7,Nebraska,CWS,State,Ground water,Active,,100,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45139,45169.0,Known,,SIF,State Public Notification received,Y,,3,45244
NE3150672,FORT HARTSUFF SHP - NG & PC,Region 7,Nebraska,TNCWS,State,Ground water,Active,,45,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45139,45169.0,Returned to Compliance,45188.0,SOX,State Compliance achieved,Y,,3,45244
NE3101910,"SHELTON, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,1059,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45139,45169.0,Known,,SIE,State Public Notification requested,Y,,3,45244
NE3150566,SARPY CO DIST 46 - PLATTEVIEW HIGH,Region 7,Nebraska,NTNCWS,State,Ground water,Active,,614,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45139,45169.0,Known,,SIE,State Public Notification requested,Y,,3,45244
NE3103105,"WOOD LAKE, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,70,Consumer Confidence Rule,71,Consumer Confidence Report Complete Failure to Report,Other,N,Consumer Confidence Rule,45108,,Returned to Compliance,45134.0,SOX,State Compliance achieved,,,3,45244
NE3120840,EAGLES NEST ESTATES,Region 7,Nebraska,CWS,State,Ground water,Active,,52,Radionuclides and Revised Rad Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Combined Uranium,45108,45199.0,Known,,,,,,2,45244
NE3102506,"WEEPING WATER, CITY OF",Region 7,Nebraska,CWS,State,Ground water,Active,,1107,Revised Total Coliform Rule,3D,"Monitoring, Lab Certification/Method Error (RTCR)",MON,N,Revised Total Coliform Rule,45108,45138.0,Known,,,,,,3,45244
NE3101507,"SPENCER, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water purchased,Active,,368,Consumer Confidence Rule,71,Consumer Confidence Report Complete Failure to Report,Other,N,Consumer Confidence Rule,45108,,Open,,SII,State Consumer Confidence Report Follow-up Notice,,,3,45244
NE3120563,UNL-EASTERN NEBR RESRCH & EXTENSION CNTR,Region 7,Nebraska,NTNCWS,State,Ground water,Active,,200,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45108,45199.0,Returned to Compliance,45184.0,SOX,State Compliance achieved,,,1,45244
NE3121476,SCHMID FARMS WATER DISTRIBUTION,Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45108,45199.0,Known,,SIF,State Public Notification received,,,1,45244
NE3121476,SCHMID FARMS WATER DISTRIBUTION,Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45108,45199.0,Known,,SIF,State Public Notification received,,,1,45244
NE3121208,CAMP MOSES MERRILL,Region 7,Nebraska,TNCWS,State,Ground water,Active,,100,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45108,45199.0,Known,,SIF,State Public Notification received,,,1,45244
NE3120182,BUFFALO RIDGE GOLF COURSE,Region 7,Nebraska,TNCWS,State,Ground water,Active,,85,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45108,45138.0,Returned to Compliance,45197.0,SOX,State Compliance achieved,Y,,3,45244
NE3121047,THE CROSSING AT LEXINGTON,Region 7,Nebraska,TNCWS,State,Ground water,Active,,499,Nitrate Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Nitrate-Nitrite,45108,45199.0,Known,,,,,,1,45244
NE3120182,BUFFALO RIDGE GOLF COURSE,Region 7,Nebraska,TNCWS,State,Ground water,Active,,85,Nitrate Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Nitrate-Nitrite,45108,45199.0,Known,,,,,,1,45244
NE3120370,CENTRAL NE PUBLIC POWER & IRRIG DIST,Region 7,Nebraska,TNCWS,State,Ground water,Active,,66,Nitrate Rule,3,"Monitoring, Regular",MR,N,Nitrate-Nitrite,45108,45199.0,Known,,,,Y,,3,45244
NE3120995,PONDEROSA BAR,Region 7,Nebraska,TNCWS,State,Ground water,Active,,34,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45108,45199.0,Known,,,,Y,,3,45244
NE3110107,NORTH SHORE LODGE,Region 7,Nebraska,TNCWS,State,Ground water,Active,,500,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45108,45199.0,Known,,,,Y,,3,45244
NE3121108,ROUND THE BEND STEAKHOUSE,Region 7,Nebraska,TNCWS,State,Ground water,Active,,215,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45108,45199.0,Known,,,,Y,,3,45244
NE3121456,GRETNA SPORTS COMPLEX,Region 7,Nebraska,TNCWS,State,Ground water,Active,,300,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45108,45199.0,Known,,,,Y,,3,45244
NE3120649,JRCS EXPRESS,Region 7,Nebraska,TNCWS,State,Ground water,Active,,80,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45108,45199.0,Known,,,,Y,,3,45244
NE3150373,TOURNESOL ENT LLC DBA CTRY VIEW CAMPGRND,Region 7,Nebraska,TNCWS,State,Ground water,Active,,35,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45108,45199.0,Known,,,,Y,,3,45244
NE3114106,COLLEGE VIEW PARK,Region 7,Nebraska,CWS,State,Ground water,Active,,150,Arsenic Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Arsenic,45108,45199.0,Known,,SFL,State Administrative/Compliance Order without penalty issued,,,2,45244
NE3114505,"LEBANON, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,58,Arsenic Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Arsenic,45108,45199.0,Known,,SFL,State Administrative/Compliance Order without penalty issued,,,2,45244
NE3105108,"MARTINSBURG, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,94,Radionuclides and Revised Rad Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Combined Uranium,45108,45199.0,Known,,SFL,State Administrative/Compliance Order without penalty issued,,,2,45244
NE3108106,"PHILLIPS, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,385,Radionuclides and Revised Rad Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Combined Uranium,45108,45199.0,Known,,SFL,State Administrative/Compliance Order without penalty issued,,,2,45244
NE3108106,"PHILLIPS, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,385,Radionuclides and Revised Rad Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Combined Uranium,45108,45199.0,Known,,SFL,State Administrative/Compliance Order without penalty issued,,,2,45244
NE3109502,"STEELE CITY, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,60,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45108,45199.0,Known,,SIF,State Public Notification received,,,1,45244
NE3105101,"ALLEN, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,377,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45108,45199.0,Known,,SIF,State Public Notification received,,,1,45244
NE3120372,"PROSSER, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,76,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45108,45199.0,Known,,SIF,State Public Notification received,,,1,45244
NE3120372,"PROSSER, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,76,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45108,45199.0,Known,,SIF,State Public Notification received,,,1,45244
NE3103903,"WISNER, CITY OF",Region 7,Nebraska,CWS,State,Ground water,Active,,1239,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45108,45199.0,Known,,SIF,State Public Notification received,,,1,45244
NE3113110,"BURR, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,57,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45108,45199.0,Known,,SIF,State Public Notification received,,,1,45244
NE3103901,"BANCROFT, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,490,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45108,45199.0,Known,,SIF,State Public Notification received,,,1,45244
NE3106302,"CURTIS, CITY OF",Region 7,Nebraska,CWS,State,Ground water,Active,,906,Consumer Confidence Rule,71,Consumer Confidence Report Complete Failure to Report,Other,N,Consumer Confidence Rule,45108,,Open,,SII,State Consumer Confidence Report Follow-up Notice,,,3,45244
NE3103306,"GURLEY, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,234,Consumer Confidence Rule,71,Consumer Confidence Report Complete Failure to Report,Other,N,Consumer Confidence Rule,45108,,Open,,SII,State Consumer Confidence Report Follow-up Notice,,,3,45244
NE3106501,"WILSONVILLE, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,71,Consumer Confidence Rule,71,Consumer Confidence Report Complete Failure to Report,Other,N,Consumer Confidence Rule,45108,,Open,,SII,State Consumer Confidence Report Follow-up Notice,,,3,45244
NE3114113,"DUNCAN, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,392,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45108,45199.0,Returned to Compliance,45132.0,SOX,State Compliance achieved,,,1,45244
NE3104103,"ANSELMO, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,92,Revised Total Coliform Rule,1A,"Maximum Contaminant Level Violation, E. coli (RTCR)",MCL,Y,Revised Total Coliform Rule,45108,45138.0,Returned to Compliance,45167.0,SOX,State Compliance achieved,,,1,45244
NE3110301,"SPRINGVIEW, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,200,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45108,45138.0,Returned to Compliance,45182.0,SOX,State Compliance achieved,Y,,3,45244
NE3121353,LAKE ALLURE SUBDIVISION - ASHLAND,Region 7,Nebraska,CWS,State,Ground water,Active,,179,Consumer Confidence Rule,71,Consumer Confidence Report Complete Failure to Report,Other,N,Consumer Confidence Rule,45108,,Returned to Compliance,45135.0,SOX,State Compliance achieved,,,3,45244
NE3120446,"ITHACA, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,156,Consumer Confidence Rule,71,Consumer Confidence Report Complete Failure to Report,Other,N,Consumer Confidence Rule,45108,,Returned to Compliance,45139.0,SOX,State Compliance achieved,,,3,45244
NE3121303,BLUE MOON RESORT,Region 7,Nebraska,TNCWS,State,Ground water,Active,,60,Public Notice Rule and Revised PN Rule,75,Public Notification Violation for NPDWR Violation,Other,N,Public Notice,45103,,Open,,SIE,State Public Notification requested,,,3,45155
NE3120767,PAPA MIKE'S,Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Public Notice Rule and Revised PN Rule,75,Public Notification Violation for NPDWR Violation,Other,N,Public Notice,45103,,Open,,SIE,State Public Notification requested,,,3,45155
NE3103105,"WOOD LAKE, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,70,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45078,45107.0,Returned to Compliance,45134.0,SOX,State Compliance achieved,Y,,3,45155
